Day,Week,Date,LC#,Problem Name,Difficulty,Pattern,Time Taken (min),Result,Needs Revisit,Revisit By,Notes
29,5,,213,House Robber II,Medium,DP 1D Circular,,,,,
30,5,,5,Longest Palindromic Substring,Medium,DP/Expand Around Center,,,,,
30,5,,647,Palindromic Substrings,Medium,DP/Expand Around Center,,,,,
30,5,,91,Decode Ways,Medium,DP 1D,,,,,
31,5,,1143,Longest Common Subsequence,Medium,DP 2D,,,,,
31,5,,300,Longest Increasing Subsequence,Medium,DP 1D + Binary Search,,,,,
31,5,,115,Distinct Subsequences,Hard,DP 2D,,,,,
32,5,,416,Partition Equal Subset Sum,Medium,0/1 Knapsack,,,,,
32,5,,494,Target Sum,Medium,0/1 Knapsack/DFS,,,,,
32,5,,1049,Last Stone Weight II,Medium,0/1 Knapsack,,,,,
33,5,,322,Coin Change,Medium,Unbounded Knapsack,,,,,
33,5,,518,Coin Change II,Medium,Unbounded Knapsack,,,,,
33,5,,746,Minimum Cost Climbing Stairs,Easy,DP 1D,,,,,
34,5,,139,Word Break,Medium,DP,,,,,
34,5,,55,Jump Game,Medium,Greedy/DP,,,,,
34,5,,45,Jump Game II,Medium,Greedy,,,,,
36,6,,62,Unique Paths,Medium,DP 2D,,,,,
36,6,,64,Minimum Path Sum,Medium,DP 2D,,,,,
36,6,,72,Edit Distance,Medium,DP 2D,,,,,
37,6,,97,Interleaving String,Medium,DP 2D,,,,,
37,6,,221,Maximal Square,Medium,DP 2D,,,,,
37,6,,312,Burst Balloons,Hard,DP Interval,,,,,
38,6,,78,Subsets,Medium,Backtracking,,,,,
38,6,,46,Permutations,Medium,Backtracking,,,,,
38,6,,39,Combination Sum,Medium,Backtracking,,,,,
39,6,,79,Word Search,Medium,Backtracking + DFS,,,,,
39,6,,51,N-Queens,Hard,Backtracking,,,,,
39,6,,131,Palindrome Partitioning,Medium,Backtracking + DP,,,,,
40,6,,208,Implement Trie,Medium,Trie,,,,,
40,6,,211,Design Add and Search Words,Medium,Trie + DFS,,,,,
40,6,,212,Word Search II,Hard,Trie + Backtracking,,,,,
43,7,,743,Network Delay Time,Medium,Dijkstra,,,,,
43,7,,787,Cheapest Flights Within K Stops,Medium,Bellman-Ford/Dijkstra,,,,,
43,7,,1631,Path With Minimum Effort,Medium,Dijkstra/Binary Search,,,,,
44,7,,207,Course Schedule,Medium,Topological Sort/DFS,,,,,
44,7,,210,Course Schedule II,Medium,Topological Sort,,,,,
44,7,,269,Alien Dictionary,Hard,Topological Sort,,,,,
45,7,,127,Word Ladder,Hard,BFS,,,,,
45,7,,778,Swim in Rising Water,Hard,Dijkstra/Binary Search,,,,,
45,7,,1584,Min Cost to Connect All Points,Medium,Prim's/Kruskal's MST,,,,,
50,8,,200,Number of Islands (revisit),Medium,BFS/DFS,,,,,
50,8,,146,LRU Cache (revisit),Medium,Design,,,,,
50,8,,297,Serialize and Deserialize Binary Tree,Hard,BFS/DFS,,,,,
50,8,,253,Meeting Rooms II,Medium,Heap + Sort,,,,,
51,8,,721,Accounts Merge,Medium,Union-Find/DFS,,,,,
51,8,,1249,Minimum Remove to Make Valid Parentheses,Medium,Stack,,,,,
51,8,,1762,Buildings With an Ocean View,Medium,Monotonic Stack,,,,,
51,8,,341,Flatten Nested List Iterator,Medium,Stack/DFS,,,,,
52,8,,307,Range Sum Query - Mutable,Medium,Segment Tree/BIT,,,,,
52,8,,315,Count of Smaller Numbers After Self,Hard,Merge Sort/BIT,,,,,
52,8,,135,Candy,Hard,Greedy,,,,,
52,8,,691,Sticker to Spell Word,Hard,DP + Bitmask,,,,,
53,8,,588,Design In-Memory File System,Hard,Design,,,,,
53,8,,460,LFU Cache,Hard,Design,,,,,
53,8,,895,Maximum Frequency Stack,Hard,Design,,,,,
